time,irradiance,temperature,pv_voltage,pv_current,pv_power,duty_cycle,out_voltage,out_current,out_power,mpp_voltage,mpp_current,mpp_power,tracking_error,tracking_efficiency,converter_efficiency,converter_loss
0.0,700.0,25.0,37.464888316197616,7.118328774760455,266.6873925443763,0.505,24.707459095511453,1.2353729547755727,30.522926747818584,40.692823184567445,6.839097379918612,278.30218042306655,11.614787878690265,95.82655519944765,0.11445207985502961,12.17898906725343
0.001,700.0,25.0,36.823992346847476,7.1386170226425785,262.8723786088654,0.505,40.746697621779795,2.0373348810889897,83.01466835403777,40.692823184567445,6.839097379918612,278.30218042306655,15.429801814201141,94.45573807911055,0.3157983687497173,12.108027428624634
0.002,700.0,25.0,36.823992346847476,7.1386170226425785,262.8723786088654,0.505,51.43952330595869,2.5719761652979343,132.30122789721335,40.692823184567445,6.839097379918612,278.30218042306655,15.429801814201141,94.45573807911055,0.5032907169530647,12.108027428624634
0.003,700.0,25.0,36.823992346847476,7.1386170226425785,262.8723786088654,0.505,58.56807376207796,2.9284036881038977,171.5109632100102,40.692823184567445,6.839097379918612,278.30218042306655,15.429801814201141,94.45573807911055,0.6524495426931325,12.108027428624634
0.004,700.0,25.0,36.823992346847476,7.1386170226425785,262.8723786088654,0.505,63.32044073282414,3.166022036641207,200.47391072995472,40.692823184567445,6.839097379918612,278.30218042306655,15.429801814201141,94.45573807911055,0.7626282829366604,12.108027428624634
0.005,700.0,25.0,36.823992346847476,7.1386170226425785,262.8723786088654,0.505,66.48868537998825,3.3244342689994126,221.03726417795318,40.692823184567445,6.839097379918612,278.30218042306655,15.429801814201141,94.45573807911055,0.8408538978027822,12.108027428624634
0.006,700.0,25.0,36.823992346847476,7.1386170226425785,262.8723786088654,0.505,68.60084847809766,3.430042423904883,235.3038205957457,40.692823184567445,6.839097379918612,278.30218042306655,15.429801814201141,94.45573807911055,0.8951256949892796,12.108027428624634
0.007,700.0,25.0,36.823992346847476,7.1386170226425785,262.8723786088654,0.505,70.0089572101706,3.5004478605085305,245.06270448277496,40.692823184567445,6.839097379918612,278.30218042306655,15.429801814201141,94.45573807911055,0.9322497319028337,12.108027428624634
0.008,700.0,25.0,36.823992346847476,7.1386170226425785,262.8723786088654,0.505,70.9476963648859,3.547384818244295,251.6787809742022,40.692823184567445,6.839097379918612,278.30218042306655,15.429801814201141,94.45573807911055,0.9574181293070793,12.108027428624634
0.009000000000000001,700.0,25.0,36.823992346847476,7.1386170226425785,262.8723786088654,0.505,71.57352246802942,3.578676123401471,256.13845592407563,40.692823184567445,6.839097379918612,278.30218042306655,15.429801814201141,94.45573807911055,0.9743833006707435,12.108027428624634
